vendor,family,part_number,document_type,title,source_url,local_folder,redistribution_status,verification_status,notes
STMicroelectronics,STM32F0,STM32F0,application_note_index,STM32F0 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32F1,STM32F1,family_page,STM32F1 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32f1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F1,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32F1,STM32F1,datasheet_index,STM32F1 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32F1,STM32F1,reference_manual_index,STM32F1 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32F1,STM32F1,errata_index,STM32F1 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32F1,STM32F1,application_note_index,STM32F1 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32F2,STM32F2,family_page,STM32F2 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32f2-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F2,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32F2,STM32F2,datasheet_index,STM32F2 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f2-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F2,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32F2,STM32F2,reference_manual_index,STM32F2 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f2-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F2,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32F2,STM32F2,errata_index,STM32F2 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f2-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F2,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32F2,STM32F2,application_note_index,STM32F2 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f2-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F2,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32F3,STM32F3,family_page,STM32F3 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32f3-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F3,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32F3,STM32F3,datasheet_index,STM32F3 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f3-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F3,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32F3,STM32F3,reference_manual_index,STM32F3 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f3-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F3,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32F3,STM32F3,errata_index,STM32F3 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f3-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F3,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32F3,STM32F3,application_note_index,STM32F3 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f3-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F3,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32F4,STM32F4,family_page,STM32F4 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32f4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F4,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32F4,STM32F4,datasheet_index,STM32F4 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32F4,STM32F4,reference_manual_index,STM32F4 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32F4,STM32F4,errata_index,STM32F4 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32F4,STM32F4,application_note_index,STM32F4 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32F7,STM32F7,family_page,STM32F7 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32f7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F7,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32F7,STM32F7,datasheet_index,STM32F7 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32F7,STM32F7,reference_manual_index,STM32F7 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32F7,STM32F7,errata_index,STM32F7 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32F7,STM32F7,application_note_index,STM32F7 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32G0,STM32G0,family_page,STM32G0 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32g0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G0,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32G0,STM32G0,datasheet_index,STM32G0 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32G0,STM32G0,reference_manual_index,STM32G0 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32G0,STM32G0,errata_index,STM32G0 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32G0,STM32G0,application_note_index,STM32G0 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32G4,STM32G4,family_page,STM32G4 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32g4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G4,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32G4,STM32G4,datasheet_index,STM32G4 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32G4,STM32G4,reference_manual_index,STM32G4 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32G4,STM32G4,errata_index,STM32G4 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32G4,STM32G4,application_note_index,STM32G4 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32g4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32G4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32H5,STM32H5,family_page,STM32H5 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32h5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H5,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32H5,STM32H5,datasheet_index,STM32H5 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32H5,STM32H5,reference_manual_index,STM32H5 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32H5,STM32H5,errata_index,STM32H5 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32H5,STM32H5,application_note_index,STM32H5 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32H7,STM32H7,family_page,STM32H7 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32h7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H7,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32H7,STM32H7,datasheet_index,STM32H7 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32H7,STM32H7,reference_manual_index,STM32H7 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32H7,STM32H7,errata_index,STM32H7 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32H7,STM32H7,application_note_index,STM32H7 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32h7-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32H7,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32L0,STM32L0,family_page,STM32L0 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32l0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L0,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32L0,STM32L0,datasheet_index,STM32L0 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32L0,STM32L0,reference_manual_index,STM32L0 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32L0,STM32L0,errata_index,STM32L0 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32L0,STM32L0,application_note_index,STM32L0 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32L1,STM32L1,family_page,STM32L1 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32l1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L1,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32L1,STM32L1,datasheet_index,STM32L1 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32L1,STM32L1,reference_manual_index,STM32L1 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32L1,STM32L1,errata_index,STM32L1 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32L1,STM32L1,application_note_index,STM32L1 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l1-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L1,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32L4,STM32L4,family_page,STM32L4 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32l4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L4,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32L4,STM32L4,datasheet_index,STM32L4 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32L4,STM32L4,reference_manual_index,STM32L4 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32L4,STM32L4,errata_index,STM32L4 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32L4,STM32L4,application_note_index,STM32L4 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l4-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L4,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32L5,STM32L5,family_page,STM32L5 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32l5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L5,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32L5,STM32L5,datasheet_index,STM32L5 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32L5,STM32L5,reference_manual_index,STM32L5 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32L5,STM32L5,errata_index,STM32L5 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32L5,STM32L5,application_note_index,STM32L5 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32l5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32L5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32U0,STM32U0,family_page,STM32U0 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32u0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32U0,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32U0,STM32U0,datasheet_index,STM32U0 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32u0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32U0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32U0,STM32U0,reference_manual_index,STM32U0 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32u0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32U0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32U0,STM32U0,errata_index,STM32U0 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32u0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32U0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
STMicroelectronics,STM32U0,STM32U0,application_note_index,STM32U0 application notes via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32u0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32U0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Use official Documentation tab; do not infer app-note applicability.
STMicroelectronics,STM32U5,STM32U5,family_page,STM32U5 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32u5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32U5,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32U5,STM32U5,datasheet_index,STM32U5 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32u5-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32U5,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
