"current_knowledge_file","url_index_ids","knowledge_category","raw_html_tag_count","content_quality"
"11_calculators_ipc_reference\url_001064--docs.oshpark.com-services-two-layer.md","url_001064","11_calculators_ipc_reference","128","medium"
"11_calculators_ipc_reference\url_005859--4pcb.com-pcb-design-guidelines.md","url_005859","11_calculators_ipc_reference","28","medium"
"11_calculators_ipc_reference\url_008235--protoexpress.com-blog-best-high-speed-pcb-routing-practices.md","url_008235","11_calculators_ipc_reference","101","medium"
"11_calculators_ipc_reference\url_008245--protoexpress.com-kb-dfm-rules.md","url_008245","11_calculators_ipc_reference","124","medium"
"11_calculators_ipc_reference\url_008246--protoexpress.com-pcb-design-guides.md","url_008246","11_calculators_ipc_reference","123","medium"
"12_forums_peer_review\url_001997--forum.kicad.info-t-custom-design-rules-examples-43987.md","url_001997","12_forums_peer_review","13","medium"
"15_video_reference_index\url_004557--learn.adafruit.com-adafruit-guide-excellent-soldering.md","url_004557","15_video_reference_index","38","medium"
"15_video_reference_index\url_010079--youtube.com-RobertFeranec.md","url_010079","15_video_reference_index","6","medium"
"91_rejected_low_value\url_000076--docs.espressif.com-projects-esp-iot-solution-en-latest-usb-usb_overview-usb_overview.html.md","url_000076","91_rejected_low_value","5","junk"
"91_rejected_low_value\url_000720--docs.kicad.org-9.0-en-eeschema-eeschema.html.md","url_000720","91_rejected_low_value","1","junk"
"91_rejected_low_value\url_001678--electronics.stackexchange.com-questions-tagged-esp32.md","url_001678","91_rejected_low_value","114","junk"
"91_rejected_low_value\url_001681--electronics.stackexchange.com-questions-tagged-kicad.md","url_001681","91_rejected_low_value","136","junk"
"91_rejected_low_value\url_001682--electronics.stackexchange.com-questions-tagged-pcb.md","url_001682","91_rejected_low_value","118","junk"
"91_rejected_low_value\url_001683--electronics.stackexchange.com-questions-tagged-pcb-design.md","url_001683","91_rejected_low_value","122","junk"
"91_rejected_low_value\url_001687--electronics.stackexchange.com-questions-tagged-switching-regulator.md","url_001687","91_rejected_low_value","124","junk"
"91_rejected_low_value\url_001688--electronics.stackexchange.com-questions-tagged-usb.md","url_001688","91_rejected_low_value","132","junk"
"91_rejected_low_value\url_001982--forum.kicad.info-index.md","url_001982","91_rejected_low_value","310","junk"
"91_rejected_low_value\url_001984--forum.kicad.info-c-footprints-symbols-11.md","url_001984","91_rejected_low_value","378","junk"
"91_rejected_low_value\url_001985--forum.kicad.info-c-layout-6.md","url_001985","91_rejected_low_value","307","junk"
"91_rejected_low_value\url_001998--forum.kicad.info-t-kicad-9-0-python-api-ipc-api-57236.md","url_001998","91_rejected_low_value","36","junk"
"91_rejected_low_value\url_002902--github.com-atopile-kicad-python.md","url_002902","91_rejected_low_value","210","junk"
"91_rejected_low_value\url_002920--gitlab.com-kicad-code-kicad.md","url_002920","91_rejected_low_value","15","junk"
"91_rejected_low_value\url_004521--hackaday.com-tag-kicad.md","url_004521","91_rejected_low_value","12","junk"
"91_rejected_low_value\url_004522--hackaday.com-tag-pcb-design.md","url_004522","91_rejected_low_value","13","junk"
"91_rejected_low_value\url_004560--learn.sparkfun.com-tutorials-how-to-read-a-schematic-all.md","url_004560","91_rejected_low_value","2","junk"
"91_rejected_low_value\url_004561--learn.sparkfun.com-tutorials-pcb-basics-all.md","url_004561","91_rejected_low_value","1","junk"
"91_rejected_low_value\url_004579--resources.altium.com-p-pcb-layout-guidelines.md","url_004579","91_rejected_low_value","33","junk"
"91_rejected_low_value\url_004599--resources.pcb.cadence.com-blog-2024-optimizing-for-pcb-trace-thickness-vs-current-capacity.md","url_004599","91_rejected_low_value","2","junk"
"91_rejected_low_value\url_004600--saturnpcb.com-saturn-pcb-toolkit.md","url_004600","91_rejected_low_value","6","junk"
"91_rejected_low_value\url_006321--ee-training.dk-index.md","url_006321","91_rejected_low_value","17","junk"
"91_rejected_low_value\url_006322--eevblog.com-forum-beginners.md","url_006322","91_rejected_low_value","550","junk"
"91_rejected_low_value\url_006325--eevblog.com-forum-eda.md","url_006325","91_rejected_low_value","601","junk"
"91_rejected_low_value\url_006327--eevblog.com-forum-projects.md","url_006327","91_rejected_low_value","539","junk"
"91_rejected_low_value\url_006728--eevblog.com-forum-projects-buck-converter-layout-review.md","url_006728","91_rejected_low_value","539","junk"
"91_rejected_low_value\url_006736--electronicdesign.com-technologies-power-article-21144363-power-supply-layout-and-emi.md","url_006736","91_rejected_low_value","1","junk"
"91_rejected_low_value\url_006906--fastturnpcbs.com-blog-usb-type-c-pcb-design-guide.md","url_006906","91_rejected_low_value","74","junk"
"91_rejected_low_value\url_006907--fedevel.com-index.md","url_006907","91_rejected_low_value","41","junk"
"91_rejected_low_value\url_008205--omnicalculator.com-other-pcb-trace-width.md","url_008205","91_rejected_low_value","57","junk"
"91_rejected_low_value\url_008383--richtek.com-Design-20Support-Technical-20Document-AN003.md","url_008383","91_rejected_low_value","109","junk"
"91_rejected_low_value\url_008394--signalintegrityjournal.com-index.md","url_008394","91_rejected_low_value","42","junk"
"91_rejected_low_value\url_010061--usb.org-documents.md","url_010061","91_rejected_low_value","329","junk"
