"id","original_url","normalized_url","source_domain","source_list_file","source_list_row","scraped_status","http_error_if_known","error_message_if_known","source_scraped_file","current_knowledge_file","source_file_type","detected_category","source_of_truth_level","trust_label","content_quality","needs_future_rescrape","rescrape_reason","imported_at","last_scraped_at","duplicate_group_id","notes"
"url_000097","https://docs.kicad.org/10.0/es/drawing-sheet-editor.html","https://docs.kicad.org/10.0/es/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:21","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000098","https://docs.kicad.org/10.0/es/gerber-viewer.html","https://docs.kicad.org/10.0/es/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:22","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000099","https://docs.kicad.org/10.0/es/getting-started-in-kicad.html","https://docs.kicad.org/10.0/es/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:23","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000100","https://docs.kicad.org/10.0/es/introduction.html","https://docs.kicad.org/10.0/es/introduction.html","docs.kicad.org","urls.txt","urls.txt:24","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000101","https://docs.kicad.org/10.0/es/kicad.html","https://docs.kicad.org/10.0/es/kicad.html","docs.kicad.org","urls.txt","urls.txt:26","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000102","https://docs.kicad.org/10.0/es/kicad-cli.html","https://docs.kicad.org/10.0/es/kicad-cli.html","docs.kicad.org","urls.txt","urls.txt:25","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000103","https://docs.kicad.org/10.0/es/pcb-editor.html","https://docs.kicad.org/10.0/es/pcb-editor.html","docs.kicad.org","urls.txt","urls.txt:27","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000104","https://docs.kicad.org/10.0/es/schematic-editor.html","https://docs.kicad.org/10.0/es/schematic-editor.html","docs.kicad.org","urls.txt","urls.txt:28","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000105","https://docs.kicad.org/10.0/fr/calculator-tools.html","https://docs.kicad.org/10.0/fr/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:29","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000106","https://docs.kicad.org/10.0/fr/drawing-sheet-editor.html","https://docs.kicad.org/10.0/fr/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:30","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000107","https://docs.kicad.org/10.0/fr/gerber-viewer.html","https://docs.kicad.org/10.0/fr/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:31","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000108","https://docs.kicad.org/10.0/fr/getting-started-in-kicad.html","https://docs.kicad.org/10.0/fr/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:32","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000109","https://docs.kicad.org/10.0/fr/introduction.html","https://docs.kicad.org/10.0/fr/introduction.html","docs.kicad.org","urls.txt","urls.txt:33","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000110","https://docs.kicad.org/10.0/fr/kicad.html","https://docs.kicad.org/10.0/fr/kicad.html","docs.kicad.org","urls.txt","urls.txt:35","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000111","https://docs.kicad.org/10.0/fr/kicad-cli.html","https://docs.kicad.org/10.0/fr/kicad-cli.html","docs.kicad.org","urls.txt","urls.txt:34","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000112","https://docs.kicad.org/10.0/fr/pcb-editor.html","https://docs.kicad.org/10.0/fr/pcb-editor.html","docs.kicad.org","urls.txt","urls.txt:36","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000113","https://docs.kicad.org/10.0/fr/schematic-editor.html","https://docs.kicad.org/10.0/fr/schematic-editor.html","docs.kicad.org","urls.txt","urls.txt:37","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000114","https://docs.kicad.org/10.0/ja/calculator-tools.html","https://docs.kicad.org/10.0/ja/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:38","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000115","https://docs.kicad.org/10.0/ja/drawing-sheet-editor.html","https://docs.kicad.org/10.0/ja/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:39","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000116","https://docs.kicad.org/10.0/ja/gerber-viewer.html","https://docs.kicad.org/10.0/ja/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:40","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000117","https://docs.kicad.org/10.0/ja/getting-started-in-kicad.html","https://docs.kicad.org/10.0/ja/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:41","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000118","https://docs.kicad.org/10.0/ja/introduction.html","https://docs.kicad.org/10.0/ja/introduction.html","docs.kicad.org","urls.txt","urls.txt:42","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000119","https://docs.kicad.org/10.0/ja/kicad.html","https://docs.kicad.org/10.0/ja/kicad.html","docs.kicad.org","urls.txt","urls.txt:44","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000120","https://docs.kicad.org/10.0/ja/kicad-cli.html","https://docs.kicad.org/10.0/ja/kicad-cli.html","docs.kicad.org","urls.txt","urls.txt:43","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000121","https://docs.kicad.org/10.0/ja/pcb-editor.html","https://docs.kicad.org/10.0/ja/pcb-editor.html","docs.kicad.org","urls.txt","urls.txt:45","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000122","https://docs.kicad.org/10.0/ja/schematic-editor.html","https://docs.kicad.org/10.0/ja/schematic-editor.html","docs.kicad.org","urls.txt","urls.txt:46","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000123","https://docs.kicad.org/10.0/zh/calculator-tools.html","https://docs.kicad.org/10.0/zh/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:47","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000124","https://docs.kicad.org/10.0/zh/drawing-sheet-editor.html","https://docs.kicad.org/10.0/zh/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:48","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000125","https://docs.kicad.org/10.0/zh/gerber-viewer.html","https://docs.kicad.org/10.0/zh/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:49","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000126","https://docs.kicad.org/10.0/zh/getting-started-in-kicad.html","https://docs.kicad.org/10.0/zh/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:50","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000127","https://docs.kicad.org/10.0/zh/introduction.html","https://docs.kicad.org/10.0/zh/introduction.html","docs.kicad.org","urls.txt","urls.txt:51","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000128","https://docs.kicad.org/10.0/zh/kicad.html","https://docs.kicad.org/10.0/zh/kicad.html","docs.kicad.org","urls.txt","urls.txt:53","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000129","https://docs.kicad.org/10.0/zh/kicad-cli.html","https://docs.kicad.org/10.0/zh/kicad-cli.html","docs.kicad.org","urls.txt","urls.txt:52","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000130","https://docs.kicad.org/10.0/zh/pcb-editor.html","https://docs.kicad.org/10.0/zh/pcb-editor.html","docs.kicad.org","urls.txt","urls.txt:54","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000131","https://docs.kicad.org/10.0/zh/schematic-editor.html","https://docs.kicad.org/10.0/zh/schematic-editor.html","docs.kicad.org","urls.txt","urls.txt:55","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000132","https://docs.kicad.org/11.0/ca/calculator-tools.html","https://docs.kicad.org/11.0/ca/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:4003","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000133","https://docs.kicad.org/11.0/ca/drawing-sheet-editor.html","https://docs.kicad.org/11.0/ca/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:4004","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000134","https://docs.kicad.org/11.0/ca/gerber-viewer.html","https://docs.kicad.org/11.0/ca/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:4005","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000135","https://docs.kicad.org/11.0/ca/getting-started-in-kicad.html","https://docs.kicad.org/11.0/ca/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:4006","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000136","https://docs.kicad.org/11.0/ca/introduction.html","https://docs.kicad.org/11.0/ca/introduction.html","docs.kicad.org","urls.txt","urls.txt:4007","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000137","https://docs.kicad.org/11.0/ca/kicad.html","https://docs.kicad.org/11.0/ca/kicad.html","docs.kicad.org","urls.txt","urls.txt:4009","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000138","https://docs.kicad.org/11.0/ca/kicad-cli.html","https://docs.kicad.org/11.0/ca/kicad-cli.html","docs.kicad.org","urls.txt","urls.txt:4008","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000139","https://docs.kicad.org/11.0/ca/pcb-editor.html","https://docs.kicad.org/11.0/ca/pcb-editor.html","docs.kicad.org","urls.txt","urls.txt:4010","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000140","https://docs.kicad.org/11.0/ca/schematic-editor.html","https://docs.kicad.org/11.0/ca/schematic-editor.html","docs.kicad.org","urls.txt","urls.txt:4011","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000141","https://docs.kicad.org/11.0/hi/calculator-tools.html","https://docs.kicad.org/11.0/hi/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:4012","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000142","https://docs.kicad.org/11.0/hi/drawing-sheet-editor.html","https://docs.kicad.org/11.0/hi/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:4013","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000143","https://docs.kicad.org/11.0/hi/gerber-viewer.html","https://docs.kicad.org/11.0/hi/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:4014","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000144","https://docs.kicad.org/11.0/hi/getting-started-in-kicad.html","https://docs.kicad.org/11.0/hi/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:4015","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
