"batch","vendor","family","part_number","category","source_url","source_type","required_outputs","preferred_sources","priority","verification_status","footprint_match_status","package_drawing_status","supplier","supplier_sku","human_review_required","notes"
"batch_002_stm32","STMicro","STM32F1","STM32F103C8T6","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32f103c8.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
"batch_002_stm32","STMicro","STM32F4","STM32F401CCU6","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32f401cc.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
"batch_002_stm32","STMicro","STM32F4","STM32F411CEU6","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32f411ce.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
"batch_002_stm32","STMicro","STM32F4","STM32F405RGT6","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32f405rg.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
"batch_002_stm32","STMicro","STM32G0","STM32G030F6P6","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32g030f6.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
"batch_002_stm32","STMicro","STM32G4","STM32G431CBT6","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32g431cb.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
"batch_002_stm32","STMicro","STM32H7","STM32H743VIT6","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32h743vi.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
"batch_002_stm32","STMicro","STM32U5","STM32U5 representative","microcontroller","https://www.st.com/en/microcontrollers-microprocessors/stm32u5-series.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY family-level target; exact part must be selected before footprint review."
"batch_002_stm32","STMicro","NUCLEO","NUCLEO-F103RB","dev_board","https://www.st.com/en/evaluation-tools/nucleo-f103rb.html","SOURCE_LINK_ONLY_DRY_RUN","dev_board_record;schematic_link;source_evidence","stmicro","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
"batch_002_stm32","STMicro","NUCLEO","NUCLEO-F401RE","dev_board","https://www.st.com/en/evaluation-tools/nucleo-f401re.html","SOURCE_LINK_ONLY_DRY_RUN","dev_board_record;schematic_link;source_evidence","stmicro","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
"batch_002_stm32","STMicro","NUCLEO","NUCLEO-G431RB","dev_board","https://www.st.com/en/evaluation-tools/nucleo-g431rb.html","SOURCE_LINK_ONLY_DRY_RUN","dev_board_record;schematic_link;source_evidence","stmicro","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
"batch_002_stm32","STMicro","NUCLEO","NUCLEO-H743ZI","dev_board","https://www.st.com/en/evaluation-tools/nucleo-h743zi.html","SOURCE_LINK_ONLY_DRY_RUN","dev_board_record;schematic_link;source_evidence","stmicro","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
"batch_003_pic_avr","Microchip","PIC16","PIC16F877A","microcontroller","https://www.microchip.com/en-us/product/PIC16F877A","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_003_pic_avr","Microchip","PIC16","PIC16F18346","microcontroller","https://www.microchip.com/en-us/product/PIC16F18346","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_003_pic_avr","Microchip","PIC18","PIC18F4550","microcontroller","https://www.microchip.com/en-us/product/PIC18F4550","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; USB and package details remain UNVERIFIED."
"batch_003_pic_avr","Microchip","PIC18","PIC18F25K80","microcontroller","https://www.microchip.com/en-us/product/PIC18F25K80","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; CAN and package details remain UNVERIFIED."
"batch_003_pic_avr","Microchip","PIC24","PIC24FJ64GA002","microcontroller","https://www.microchip.com/en-us/product/PIC24FJ64GA002","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_003_pic_avr","Microchip","dsPIC33","dsPIC33CK256MP506","microcontroller","https://www.microchip.com/en-us/product/dsPIC33CK256MP506","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_003_pic_avr","Microchip","AVR","ATmega328P","microcontroller","https://www.microchip.com/en-us/product/ATmega328P","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_003_pic_avr","Microchip","AVR","ATtiny85","microcontroller","https://www.microchip.com/en-us/product/ATtiny85","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_003_pic_avr","Microchip","AVR","ATmega32U4","microcontroller","https://www.microchip.com/en-us/product/ATmega32U4","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; USB and package details remain UNVERIFIED."
"batch_003_pic_avr","Microchip","Curiosity","Curiosity Development Boards","dev_board","https://www.microchip.com/en-us/tools-resources/evaluation-boards/curiosity-development-boards","SOURCE_LINK_ONLY_DRY_RUN","dev_board_record;schematic_link;source_evidence","microchip","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY family target; exact board revision must be selected."
"batch_004_usb_c_connectors","Generic","USB-C","USB-C 16-pin receptacle generic","connector","https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_USB.pretty","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","kicad_official_libraries;manufacturer_official","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","Generic connector target; cannot be verified without exact manufacturer part number and drawing."
"batch_004_usb_c_connectors","Generic","USB-C","USB-C 24-pin full-feature receptacle generic","connector","https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_USB.pretty","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","kicad_official_libraries;manufacturer_official","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","Generic connector target; cannot be verified without exact manufacturer part number and drawing."
"batch_004_usb_c_connectors","Molex","USB-C","Molex USB-C receptacle candidate","connector","https://www.molex.com/en-us/products/connectors/io-connectors/usb-connectors","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY portal target; exact MPN must be selected before footprint review."
"batch_004_usb_c_connectors","TE Connectivity","USB-C","TE USB-C receptacle candidate","connector","https://www.te.com/usa-en/products/connectors/io-connectors/usb-connectors.html","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY portal target; exact MPN must be selected before footprint review."
"batch_004_usb_c_connectors","Amphenol","USB-C","Amphenol USB-C receptacle candidate","connector","https://www.amphenol-cs.com/product-series/usb-type-c.html","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY portal target; exact MPN must be selected before footprint review."
"batch_004_usb_c_connectors","GCT","USB-C","GCT USB4105 candidate","connector","https://gct.co/connector/usb4105","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; URL must be live-checked and exact drawing reviewed."
"batch_004_usb_c_connectors","Wurth Elektronik","USB-C","Wurth USB-C receptacle candidate","connector","https://www.we-online.com/en/components/products/em/connectors/usb","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY portal target; exact MPN must be selected before footprint review."
"batch_005_can","Microchip","CAN FD","MCP2562FD","communication","https://www.microchip.com/en-us/product/MCP2562FD","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_005_can","Microchip","CAN","MCP2562","communication","https://www.microchip.com/en-us/product/MCP2562","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_005_can","Texas Instruments","CAN","SN65HVD230","communication","https://www.ti.com/product/SN65HVD230","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","ti;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_005_can","Texas Instruments","CAN FD","TCAN1042","communication","https://www.ti.com/product/TCAN1042","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","ti;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_005_can","NXP","CAN","TJA1051","communication","https://www.nxp.com/products/interfaces/can-transceivers/can-transceiver:TJA1051","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","nxp;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_005_can","NXP","CAN","TJA1042","communication","https://www.nxp.com/products/interfaces/can-transceivers/high-speed-can-transceiver:TJA1042","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","nxp;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_005_can","Microchip","LIN","MCP2003","communication","https://www.microchip.com/en-us/product/MCP2003","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","low","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY included as adjacent vehicle bus part; exact package and footprint remain UNVERIFIED."
"batch_006_power","Diodes Inc","AP63203","AP63203","power_regulator","https://www.diodes.com/part/view/AP63203","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
"batch_006_power","Texas Instruments","LM2596","LM2596","power_regulator","https://www.ti.com/product/LM2596","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","ti;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
"batch_006_power","Monolithic Power Systems","MP1584","MP1584","power_regulator","https://www.monolithicpower.com/en/mp1584.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
"batch_006_power","Advanced Monolithic Systems","AMS1117-3.3","AMS1117-3.3","ldo","https://www.advanced-monolithic.com/","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY portal target; exact source, package, and footprint remain UNVERIFIED."
"batch_006_power","Diodes Inc","AP2112","AP2112K-3.3","ldo","https://www.diodes.com/part/view/AP2112","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact suffix/package and footprint remain UNVERIFIED."
"batch_006_power","Microchip","MCP1700","MCP1700","ldo","https://www.microchip.com/en-us/product/MCP1700","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_006_power","Texas Instruments","TLV755P","TLV755P","ldo","https://www.ti.com/product/TLV755P","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","ti;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_006_power","Microchip","MIC5504","MIC5504","ldo","https://www.microchip.com/en-us/product/MIC5504","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
"batch_006_power","Texas Instruments","TPS5430","TPS5430","power_regulator","https://www.ti.com/product/TPS5430","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","ti;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
"batch_006_power","Texas Instruments","TPS62177","TPS62177","power_regulator","https://www.ti.com/product/TPS62177","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","ti;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
"batch_006_power","Microchip","MCP73831","MCP73831","battery_charger","https://www.microchip.com/en-us/product/MCP73831","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","microchip;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
"batch_006_power","STMicroelectronics","USBLC6","USBLC6-2SC6","usb_esd","https://www.st.com/en/protection-devices/usblc6-2.html","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","stmicro;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; ESD array pinout/package/footprint remain UNVERIFIED."
"batch_006_power","Texas Instruments","TPD2EUSB30","TPD2EUSB30ADRTR","usb_esd","https://www.ti.com/product/TPD2EUSB30","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","ti;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; ESD array pinout/package/footprint remain UNVERIFIED."
"batch_006_power","Generic","Protection","resettable polyfuse generic","protection","https://www.littelfuse.com/products/polyswitch-resettable-pptcs.aspx","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;datasheet_link;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","Generic target; exact manufacturer part and footprint drawing required."
"batch_006_power","Generic","Protection","SMAJ TVS diode generic","protection","https://www.littelfuse.com/products/tvs-diodes.aspx","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;datasheet_link;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","Generic target; exact manufacturer part and footprint drawing required."
"batch_007_rf_connectors","Hirose","RF","U.FL / I-PEX MHF1 candidate","rf_connector","https://www.hirose.com/en/product/series/U.FL","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact MPN, mating height, and footprint remain UNVERIFIED."
"batch_007_rf_connectors","Generic","RF","U.FL connector generic","rf_connector","https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_Coaxial.pretty","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","kicad_official_libraries;manufacturer_official","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","Generic RF connector target; exact manufacturer drawing required."
"batch_007_rf_connectors","Generic","RF","SMA edge launch generic","rf_connector","https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_Coaxial.pretty","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","Generic RF connector target; board thickness and exact drawing required."
"batch_007_rf_connectors","Generic","RF","RP-SMA pigtail generic","rf_connector","https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector_Coaxial.pretty","SOURCE_LINK_ONLY_DRY_RUN","part_candidates;drawing_links;footprint_candidates;source_evidence","manufacturer_official;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","Generic RF connector target; exact part and mechanical review required."
